year,avgHum,avgTemp,avgWs,rainFall
20100101,55,-4.9,1.9,0
20100102,70,-0.1,2,0.8
20100103,51,-2.9,2.3,0
20100104,71,-1.8,2.6,5.9
20100105,63,-5.2,3.4,0.7
20100106,63,-7.3,2.6,0.3
20100107,63,-6.7,2.4,0
20100108,64,-5.6,1.9,0
20100109,68,-3.1,1.4,0.1
20100110,70,-1.3,1.5,0
20100111,65,-1.5,2.5,0
20100112,51,-5,3.2,0.4
20100113,55,-8.3,3.4,0.7
20100114,61,-6.4,1.7,0.1
20100115,66,-2.6,1.7,0.1
20100116,55,-4.1,1.7,0
20100117,54,-3.1,1.3,0
20100118,63,-0.4,1.3,0
20100119,66,3.6,1.3,0.3
20100120,90,8,1.5,10.8
20100121,65,1.3,3.8,3.1
20100122,51,-3.1,3.5,0
20100123,57,-2.7,2.8,0.1
20100124,62,0.4,2.2,0
20100125,50,0.8,3.6,0
20100126,51,-2.3,2.3,0
20100127,72,1.3,1.5,6.5
20100128,60,3.5,3.3,0.1
20100129,53,0.2,3,0
20100130,62,1.9,1.6,0
20100131,69,3,1.3,0
20100201,70,2.2,2.1,0.2
20100202,36,-2,3.4,0
20100203,37,-4.9,3.1,0
20100204,49,-2.9,2.5,0.1
20100205,41,-1.8,2.8,0
20100206,41,-2.6,1.9,0
20100207,47,1.2,1.3,0.1
20100208,76,4.9,1.1,2.7
20100209,91,5.6,1.2,6.9
20100210,91,5.1,1.9,9
20100211,86,2.4,3.1,17.3
20100212,84,0.7,1.9,3.1
20100213,70,-0.7,2.5,1.9
20100214,62,-1.2,1.6,0
20100215,57,-0.5,2.5,0.1
20100216,54,-1.6,2.5,0.6
20100217,49,-1.2,1.7,0.4
20100218,51,-1.1,3.3,0.5
20100219,54,-0.6,2.2,0.1
20100220,58,2.2,1.5,0
20100221,64,3.7,1.6,0
20100222,73,5.2,1.5,0
20100223,65,6.4,1.4,0
20100224,66,11.2,2,0
20100225,89,13.4,2.5,33.4
20100226,86,9.4,2.1,4.1
20100227,79,6.3,2.1,1.5
20100228,78,7.1,1.5,0.1
20100301,86,5.4,2.9,15.6
20100302,82,4.2,1.9,0.3
20100303,64,5.2,2.4,0
20100304,84,5.9,2.2,3.9
20100305,86,6.9,1.5,3.8
20100306,79,5.5,2.5,3.3
20100307,68,4.2,2.8,0.9
20100308,61,3.8,2.8,0.9
20100309,78,2.3,2.4,5.7
20100310,74,-0.3,3.3,3.9
20100311,61,3,2.5,0
20100312,64,8.3,3.7,0
20100313,42,6.1,2.2,0
20100314,63,8,2.2,1.1
20100315,77,9.4,3.3,16.5
20100316,41,3.2,4.3,0
20100317,55,2.4,1.9,1.1
20100318,63,2.1,2.7,2.3
20100319,55,6,2.4,0
20100320,69,10.9,4,1
20100321,40,4.7,4.6,0
20100322,60,4.4,1.5,2
20100323,69,7,1.7,2.4
20100324,61,8.3,2.1,0.1
20100325,65,5.1,2.7,4.6
20100326,40,3.2,3.3,0
20100327,66,5.6,2.2,0.9
20100328,53,6.2,2.7,0
20100329,52,5.6,2.2,0
20100330,58,7.8,2,0
20100331,87,8.8,1.5,18.8
20100401,85,8.9,2,15.8
20100402,44,7.3,3.3,0
20100403,39,6.2,2.5,0
20100404,50,8.4,1.8,0
20100405,56,11.9,1.6,0
20100406,63,10,2.9,0.1
20100407,52,6.9,2.3,0.1
20100408,55,8.5,1.7,0
20100409,54,11.5,1.6,0
20100410,67,12.2,1.6,0.1
20100411,66,12.3,2.5,0.9
20100412,71,11.8,2.5,3.8
20100413,49,6.9,5.1,1.6
20100414,41,4.4,3.3,0.7
20100415,49,6.2,2.1,0
20100416,51,7.4,1.9,0
20100417,51,8.8,2,0
20100418,57,10.9,1.7,0.2
20100419,66,14.2,2.1,5.5
20100420,72,15.6,2,0.2
20100421,74,12.4,2.8,8
20100422,78,9.9,2.7,13.9
20100423,73,9.6,2.1,2
20100424,59,10.5,2,0
20100425,47,12.7,1.7,0
20100426,71,12.4,2.2,23.7
20100427,64,10.2,3.9,4.2
20100428,71,6.3,3.1,7.8
20100429,50,10.2,4.2,0.5
20100430,51,11.4,3.2,0
20100501,50,12.5,2.4,0
20100502,53,16.8,2.4,0
20100503,68,20,3.1,0
20100504,65,20.8,2.3,0
20100505,63,20.2,2.6,0.4
20100506,73,17.6,3.7,5.2
20100507,46,16.7,3.1,0
20100508,50,17.2,2,0
20100509,55,18.1,1.5,0
20100510,56,16.6,2.1,0.1
20100511,62,13.9,2.3,0.8
20100512,65,13.8,2.2,0
20100513,64,14.5,1.7,0
20100514,57,15.9,1.8,0
20100515,57,16,1.7,0
20100516,53,18.3,1.7,0
20100517,62,19.4,2.1,5.8
20100518,91,18,2.3,51.4
20100519,78,19.3,2,2.4
20100520,61,20.6,2,0
20100521,54,21.7,1.6,0
20100522,73,17.8,2.1,24.2
20100523,89,15.8,2.5,26.8
20100524,84,15,3,4.8
20100525,82,15.2,2.2,1.9
20100526,70,16.3,2.3,0.2
20100527,64,16,2,0
20100528,74,15.5,1.3,0
20100529,67,17.3,1.8,0
20100530,63,16.8,2.1,0
20100531,60,16.1,2.1,0.1
20100601,60,16.4,1.8,0
20100602,64,18.4,1.6,0
20100603,63,20.5,1.6,0
20100604,60,21.5,1.7,0
20100605,60,22,1.5,0.5
20100606,62,22.1,1.4,1.6
20100607,60,21.7,1.7,0.6
20100608,56,21.4,1.8,0
20100609,54,22.4,1.7,0
20100610,57,22.6,1.6,0
20100611,59,22.3,2,0.8
20100612,78,20.3,1.7,11.9
20100613,74,22.7,1.7,2.9
20100614,74,23,1.6,2.8
20100615,76,23,1.6,2.3
20100616,74,23.4,1.8,0.2
20100617,71,24.5,1.4,0
20100618,75,23.8,1.7,1.8
20100619,81,22.9,1.5,2.3
20100620,77,23.4,1.8,4.6
20100621,71,23.1,1.9,0
20100622,60,23,1.8,0
20100623,61,22.5,1.7,0
20100624,64,23.1,1.5,0
20100625,65,23.7,1.8,0.8
20100626,83,22.6,2,11.4
20100627,86,22.7,2.1,3.9
20100628,81,23.2,1.4,9.2
20100629,78,24.2,1.4,0.1
20100630,82,24.1,1.3,3.7
20100701,83,24.8,1.3,5
20100702,90,24.3,1.7,17.1
20100703,88,24.8,1.5,6.1
20100704,86,24.2,1.4,1.4
20100705,81,25.3,1.7,1
20100706,71,25.8,2,0.4
20100707,72,24.7,2,1.1
20100708,75,23.7,1.5,0.7
20100709,73,24.5,1.4,0.8
20100710,75,24.6,1.7,4.6
20100711,87,22.1,2.1,57.6
20100712,80,23.2,1.5,0.6
20100713,81,23.2,1.6,11.3
20100714,77,23.9,1.5,0.1
20100715,76,24.4,1.7,0.9
20100716,88,24.1,1.9,54.1
20100717,88,25.1,2.4,36.6
20100718,75,26.8,2.9,1.1
20100719,75,27.1,2.4,0.7
20100720,73,27.5,2.3,0.5
20100721,74,27.7,2.8,2.2
20100722,74,27.9,2.5,0.2
20100723,79,26.2,2.2,21.3
20100724,80,26,1.5,6.7
20100725,78,26,1.6,5.6
20100726,76,26.3,1.9,1.9
20100727,74,26.7,1.9,3.2
20100728,82,25.2,2.2,14.4
20100729,79,26.5,1.8,0.7
20100730,78,27,1.7,0.1
20100731,76,27.8,2.3,0
20100801,75,28.5,2.2,0
20100802,81,27.3,1.6,4.4
20100803,81,26.2,1.4,1.8
20100804,79,28.2,1.5,1.9
20100805,76,28.8,2,2.6
20100806,81,27.9,2.2,9.1
20100807,81,26.9,1.5,8.4
20100808,76,27,1.5,1.9
20100809,72,27.9,1.7,1.3
20100810,87,26.3,2.1,43.3
20100811,83,26.8,3.2,32.4
20100812,78,26.3,1.9,3.1
20100813,88,26.2,1.9,38
20100814,86,27.1,2.2,14
20100815,85,27,2.6,38.2
20100816,85,25.4,1.8,20.6
20100817,80,25.8,1.5,16.9
20100818,82,26.7,1.6,14.4
20100819,78,27.6,1.5,0.4
20100820,78,28.1,1.4,0.2
20100821,76,28.5,1.3,0
20100822,75,28.5,1.7,0.2
20100823,79,27.7,1.9,6
20100824,81,26.5,1.5,6.8
20100825,87,24.4,1.6,19.3
20100826,85,25.5,1.7,12.7
20100827,83,26,1.6,6
20100828,83,26.2,2.6,18.3
20100829,86,25.8,1.9,29.3
20100830,84,25.9,1.2,4.7
20100831,87,25.4,1.2,17
20100901,80,26.6,2.3,14.8
20100902,82,26,3.3,26.7
20100903,80,26.8,1.5,3.4
20100904,79,26.9,1.3,0.1
20100905,80,26.6,1.6,10.3
20100906,89,24.5,1.9,21.5
20100907,80,23.9,2.7,18.6
20100908,71,22.1,2,0.2
20100909,78,22.6,1.5,12.4
20100910,83,25.1,2.1,17.4
20100911,90,24.2,1.9,42.6
20100912,84,23.4,2.4,34.2
20100913,80,22.7,1.4,0.2
20100914,80,22.6,1.2,0.2
20100915,73,22.3,1.5,0.5
20100916,72,22.3,1.3,0
20100917,73,22.8,1.2,0
20100918,72,23.3,1.3,0
20100919,83,21.9,1.3,6.1
20100920,84,23.2,1.3,7.4
20100921,83,24.9,2.4,30.1
20100922,86,18.5,2.2,9.7
20100923,71,17.7,1.9,0.2
20100924,68,17.3,1.7,0
20100925,69,17.3,1.6,0
20100926,74,17,1.3,0.1
20100927,77,17.5,1.3,0.6
20100928,60,16.3,2.4,0.5
20100929,69,14.1,1.3,0
20100930,70,14.8,1.5,0
20101001,73,15.6,1.3,0
20101002,83,17.8,1.6,12.9
20101003,75,19,2.5,6.7
20101004,74,15.6,2.5,2.3
20101005,74,15.4,1.7,0.1
20101006,76,15.7,1.3,0
20101007,75,16.9,1.4,0
20101008,80,17.7,1.3,3.9
20101009,80,18.1,1.4,0.7
20101010,78,17.6,1.4,0
20101011,82,17.1,1.1,0.1
20101012,78,17.3,1.5,0
20101013,79,16.2,1.4,0.3
20101014,71,15.8,1.8,0
20101015,54,13.9,2.4,0
20101016,68,14.5,1.7,0
20101017,72,14.7,1.2,0.1
20101018,71,14.2,1.3,0.1
20101019,74,15.1,1.3,0
20101020,78,15.3,1.3,0
20101021,77,15.5,1.7,1.1
20101022,70,15.5,1.9,0
20101023,74,15.2,1.6,0.3
20101024,85,16.1,1.2,8.1
20101025,61,13.1,3.4,0.3
20101026,37,5.3,3.8,0
20101027,55,6.7,1.7,0
20101028,56,7.6,2,0
20101029,61,9.1,1.9,0
20101030,64,11.3,1.8,0
20101031,68,11.3,1.6,0.6
20101101,61,11.4,2.2,0
20101102,45,8,3.1,0
20101103,55,6.9,1.9,0
20101104,68,9.1,1.6,0
20101105,71,10.2,1.3,0
20101106,72,10.7,1.3,0
20101107,71,10.8,1.4,0.4
20101108,60,9.4,3.9,1.5
20101109,47,6.1,4.4,0.1
20101110,56,5.8,1.7,0
20101111,65,9.9,2.3,5.5
20101112,51,10.2,2.8,0.3
20101113,62,8.9,1.4,0
20101114,50,9.2,2.5,0
20101115,38,4.1,2.9,0
20101116,54,3.4,1.6,0
20101117,65,5.3,1.2,0
20101118,65,5.1,1.2,0
20101119,67,4.6,1.1,0
20101120,65,6.8,1.1,0
20101121,70,9.5,1.4,0
20101122,55,8.6,2.8,1.3
20101123,60,5.6,1.4,0
20101124,68,7.4,1.3,0
20101125,55,5.6,2.8,0
20101126,42,1.8,2.3,0
20101127,54,3.3,2.8,1.3
20101128,44,1.2,2.6,0.2
20101129,64,4.7,1.5,0.9
20101130,77,7.8,1.3,0.6
20101201,75,7.2,1.1,0
20101202,75,8.2,1.4,1.2
20101203,47,3.8,4.8,0.6
20101204,58,3.4,2,0
20101205,69,7.8,1.7,0
20101206,63,6,3,1
20101207,52,0.8,2.5,0.3
20101208,66,1.1,1.8,2.1
20101209,52,0.3,2.7,0.1
20101210,60,4,2.4,0.5
20101211,42,1.6,3.8,0
20101212,45,-0.8,1.6,0.1
20101213,80,3.7,1.7,11.9
20101214,57,0.8,3.6,0
20101215,43,-6,3.5,0.1
20101216,52,-5,2.3,0
20101217,69,0,1.9,0.8
20101218,62,1,1.4,0
20101219,69,5.5,1.7,0
20101220,67,4.8,1.5,0
20101221,68,3.6,1.4,0
20101222,69,3.7,1.4,0
20101223,55,1.8,2.7,0
20101224,40,-6.8,4.1,0
20101225,48,-7.1,3.7,0.4
20101226,59,-5.3,3,0.9
20101227,66,-1.4,2.3,0.6
20101228,73,0.6,2.6,3.8
20101229,62,-2.2,2.3,0.2
20101230,68,-2.8,3.1,4
20101231,60,-6.1,3.1,1
20110101,63,-5,2.4,0.4
20110102,66,-3.5,1.6,0
20110103,71,-3.3,1.8,1.8
20110104,68,-2,2.1,0
20110105,60,-0.7,3.2,0
20110106,57,-4.1,3,0.1
20110107,53,-5.5,2.3,0
20110108,63,-2.6,1.9,0
20110109,52,-2.9,3.3,0
20110110,48,-6.6,2.4,0
20110111,57,-3.6,2.1,0.4
20110112,47,-5.1,3.1,0
20110113,51,-5.6,1.6,0
20110114,57,-2.7,1.9,0.1
20110115,43,-7.7,4.6,0.2
20110116,51,-10.1,3.4,0.1
20110117,50,-7.1,2.6,0
20110118,55,-5,2,0
20110119,54,-4.2,2.2,0
20110120,52,-5.4,2.3,0
20110121,49,-5,2.3,0
20110122,54,-3.2,2.2,0
20110123,60,-2.1,1.9,1.4
20110124,61,-4.7,3.1,0.3
20110125,60,-6,2.3,0
20110126,54,-5.9,2.6,0
20110127,44,-5.8,2.8,0
20110128,39,-4.5,2.4,0
20110129,46,-6.5,3.1,0.2
20110130,48,-7.3,3,0.2
20110131,54,-4.8,2.6,0
20110201,60,-0.2,1.7,0
20110202,57,1.5,1.5,0
20110203,60,1,1.3,0
20110204,62,1.9,1.5,0
20110205,62,1.4,1.3,0
20110206,65,2.5,1.6,0
20110207,63,2,1.4,0
20110208,71,2.6,1.3,1.3
20110209,58,0.8,2.6,0
20110210,60,-1,1.5,0.3
20110211,61,-0.8,2.6,4.5
20110212,53,-3.5,3.4,1.9
20110213,54,-3.7,1.5,0
20110214,68,-2.4,2.2,3.4
20110215,63,-1.3,1.5,0
20110216,65,0.8,1.3,1.5
20110217,81,1.6,1.9,3.8
20110218,67,1.3,1.6,0
20110219,58,2.3,1.5,0
20110220,56,4.1,1.9,0
20110221,59,4.2,1.8,0
20110222,65,4,1.4,0
20110223,66,4.8,1.2,0
20110224,61,7.4,1.9,0
20110225,52,4.8,2.6,0
20110226,54,5.5,2.1,0.1
20110227,89,6.1,2.4,43
20110228,86,4.9,2.4,3.8
20110301,79,2.5,2.7,3.2
20110302,48,0,3.5,0
20110303,47,-0.8,3,0
20110304,49,0.7,2.6,0
20110305,55,2.5,1.9,0
20110306,56,4.9,1.9,0
20110307,48,3.5,3.6,0
20110308,44,3,3.1,0
20110309,41,2,3.5,0
20110310,49,2.7,2.8,0
20110311,47,5,2.5,0
20110312,46,7.6,2.1,0
20110313,61,9.8,1.8,0
20110314,68,9.1,2.1,0
20110315,45,4.1,4.3,0
20110316,35,1.3,3.8,0
20110317,41,2.1,2.8,0
20110318,42,5.8,2,0
20110319,52,10.5,2.4,0
20110320,80,7.1,2,15.2
20110321,64,7.9,2,0.6
20110322,39,3.6,3.9,0.4
20110323,40,2.8,2.8,0
20110324,54,4.8,2.7,2.8
20110325,48,3.1,4,0.3
20110326,48,3.2,2.4,0
20110327,46,5.5,2.1,0
20110328,57,6.2,2.3,0.4
20110329,56,5.1,2.2,0
20110330,52,7.9,2.8,0
20110331,50,9.7,1.8,0
20110401,38,10.9,2.1,0
20110402,53,8.9,2,0.1
20110403,71,7.2,1.8,2.6
20110404,56,7.8,1.9,0
20110405,49,9.1,1.7,0
20110406,50,11,2,0.7
20110407,89,11.7,2,17.1
20110408,67,11.7,2.3,3.3
20110409,55,10.5,2.1,0
20110410,49,12.3,2.4,0.5
20110411,50,10.1,3.1,2.7
20110412,40,10.2,2.4,0
20110413,38,12.1,2.6,0
20110414,42,13.2,2.2,0
20110415,64,16.2,2.7,0.1
20110416,50,11.5,2.8,0.1
20110417,55,11.3,2.2,0
20110418,68,7.9,3,2.7
20110419,55,9.2,3.2,0.7
20110420,57,10.8,2.3,0
20110421,46,13.4,2,0
20110422,87,10.7,2.7,26.8
20110423,56,10.7,3.6,0
20110424,55,10.4,3.3,0.4
20110425,51,12.9,3.2,0.3
20110426,85,12.4,2.2,11.9
20110427,75,12.1,2.7,2.4
20110428,60,10.2,2.8,0.7
20110429,52,13.3,2.6,0.6
20110430,83,17,3.8,37.3
20110501,63,15.1,3.5,2.3
20110502,56,15.3,1.9,0
20110503,52,16,2.3,0
20110504,54,14.4,1.7,0
20110505,55,15.1,2.3,0
